subject_name,course_title,course_url
Health & Medicine Courses,The Musculoskeletal System: The Science of Staying Active into Old Age,https://www.classcentral.com/course/musculoskeletal-6738
Health & Medicine Courses,"Nutrition, Exercise and Sports",https://www.classcentral.com/course/edx-nutrition-exercise-and-sports-14381
Health & Medicine Courses,Mindfulness for Wellbeing and Peak Performance,https://www.classcentral.com/course/mindfulness-wellbeing-performance-3714
Health & Medicine Courses,Discover Dentistry,https://www.classcentral.com/course/discover-dentistry-1249
Health & Medicine Courses,Nutrition and Health: Macronutrients and Overnutrition,https://www.classcentral.com/course/edx-nutrition-and-health-macronutrients-and-overnutrition-2154
Health & Medicine Courses,Food as Medicine,https://www.classcentral.com/course/food-as-medicine-5742
Health & Medicine Courses,"Nutrition, Heart Disease and Diabetes",https://www.classcentral.com/course/edx-nutrition-heart-disease-and-diabetes-11592
Health & Medicine Courses,Stanford Introduction to Food and Health,https://www.classcentral.com/course/food-and-health-5057
Health & Medicine Courses,De-Mystifying Mindfulness,https://www.classcentral.com/course/mindfulness-6951
Health & Medicine Courses,Child Nutrition and Cooking,https://www.classcentral.com/course/childnutrition-816
Health & Medicine Courses,Buddhism and Modern Psychology,https://www.classcentral.com/course/science-of-meditationm-1355
Health & Medicine Courses,Improving Healthcare Through Clinical Research,https://www.classcentral.com/course/clinical-research-4046
Health & Medicine Courses,The Addicted Brain,https://www.classcentral.com/course/addictedbrain-1403
Health & Medicine Courses,"Viruses & How to Beat Them: Cells, Immunity, Vaccines",https://www.classcentral.com/course/edx-viruses-how-to-beat-them-cells-immunity-vaccines-9364
Health & Medicine Courses,FlashDiet: Aprende a comer sano,https://www.classcentral.com/course/edx-flashdiet-aprende-a-comer-sano-8631
Health & Medicine Courses,Anatomy: Know Your Abdomen,https://www.classcentral.com/course/anatomy-know-your-abdomen-5008
Health & Medicine Courses,Positive Psychiatry and Mental Health,https://www.classcentral.com/course/positive-psychiatry-8783
Health & Medicine Courses,Health Technology Assessment: Choosing Which Treatments Get Funded,https://www.classcentral.com/course/hta-4966
Health & Medicine Courses,Nutrition and Health: Micronutrients and Malnutrition,https://www.classcentral.com/course/edx-nutrition-and-health-micronutrients-and-malnutrition-3643
Health & Medicine Courses,"Sit Less, Get Active",https://www.classcentral.com/course/get-active-5260
Health & Medicine Courses,Epidemiology: The Basic Science of Public Health,https://www.classcentral.com/course/epidemiology-733
Health & Medicine Courses,Nutrition and Cancer,https://www.classcentral.com/course/edx-nutrition-and-cancer-11591
Health & Medicine Courses,Medicine and the Arts: Humanising Healthcare,https://www.classcentral.com/course/medicine-and-the-arts-3015
